Time,Speed_kmh,SOC_%,Temp_C,Torque_Nm,RPM,Throttle_%,Brake_%,Mode,G_Force,Distance_km,CAN_ID
04:11:45,0.0,94.06,30,0,0,2.9,0.0,ECO,0.0,45.003,0x120
04:11:46,0.0,94.06,30,0,0,2.9,0.0,ECO,0.0,45.003,0x120
04:11:47,0.0,94.06,30,0,0,2.9,0.0,ECO,0.0,45.003,0x120
04:11:48,0.0,94.06,30,0,0,2.9,0.0,ECO,0.0,45.003,0x120
04:11:49,0.0,94.06,30,0,0,2.9,0.0,ECO,0.0,45.003,0x120
04:11:50,0.0,94.06,30,0,0,2.9,0.0,ECO,0.0,45.003,0x120
04:11:51,0.0,94.06,30,0,0,2.9,0.0,ECO,0.0,45.003,0x120
04:11:52,0.0,94.06,30,0,0,2.9,0.0,ECO,0.0,45.003,0x120
04:11:53,0.0,94.06,30,0,0,2.9,0.0,ECO,0.0,45.003,0x120
04:11:54,0.0,94.06,30,0,0,2.9,0.0,ECO,0.0,45.003,0x120
04:11:55,0.0,94.06,30,0,0,2.9,0.0,ECO,0.0,45.003,0x120
04:11:56,0.0,94.06,30,0,0,2.9,0.0,ECO,0.0,45.003,0x120
04:11:57,0.0,94.06,30,0,0,2.9,0.0,ECO,0.0,45.003,0x120
04:11:58,0.0,94.06,30,0,0,2.9,0.0,ECO,0.0,45.003,0x120
04:11:59,0.0,94.06,30,0,0,2.9,0.0,ECO,0.0,45.003,0x120
04:12:00,0.0,94.06,30,0,0,2.9,0.0,ECO,0.0,45.003,0x120
04:12:01,0.0,94.06,30,0,0,2.9,0.0,ECO,0.0,45.003,0x120
04:12:02,0.0,94.06,30,0,0,2.9,0.0,ECO,0.0,45.003,0x120
04:12:03,0.0,94.06,30,0,0,2.9,0.0,ECO,0.0,45.003,0x120
04:12:04,0.0,94.06,30,0,0,2.9,0.0,ECO,0.0,45.003,0x120
04:12:05,0.0,94.06,30,0,0,2.9,0.0,ECO,0.0,45.003,0x120
04:12:06,0.0,94.06,30,0,0,2.9,0.0,ECO,0.0,45.003,0x120
04:12:07,0.0,94.06,30,0,0,2.9,0.0,ECO,0.0,45.003,0x120
04:12:08,0.0,94.06,30,0,0,2.9,0.0,ECO,0.0,45.003,0x120
04:12:09,0.0,94.06,30,0,0,2.9,0.0,ECO,0.0,45.003,0x120
04:12:10,0.0,94.06,30,0,0,2.9,0.0,ECO,0.0,45.003,0x120
04:12:11,0.0,94.06,30,0,0,2.9,0.0,ECO,0.0,45.003,0x120
04:12:12,0.0,94.06,30,0,0,2.9,0.0,ECO,0.0,45.003,0x120
04:12:13,0.0,94.06,30,0,0,2.9,0.0,ECO,0.0,45.003,0x120
04:12:14,0.0,94.06,30,0,0,2.9,0.0,ECO,0.0,45.003,0x120
04:12:15,0.0,94.06,30,0,0,2.9,0.0,ECO,0.0,45.003,0x120
